,Character,Unicode
0,一,4E00
1,丁,4E01
2,七,4E03
3,三,4E09
4,下,4E0B
5,丈,4E08
6,上,4E0A
7,丑,4E11
8,丐,4E10
9,不,4E0D
10,丙,4E19
11,世,4E16
12,丕,4E15
13,且,4E14
14,丘,4E18
15,丞,4E1E
16,丟,4E1F
17,並,4E26
18,丫,4E2B
19,中,4E2D
20,串,4E32
21,丸,4E38
22,凡,51E1
23,丹,4E39
24,主,4E3B
25,乃,4E43
26,久,4E45
27,么,4E48
28,之,4E4B
29,尹,5C39
30,乍,4E4D
31,乏,4E4F
32,乎,4E4E
33,乒,4E52
34,乓,4E53
35,乖,4E56
36,乘,4E58
37,乙,4E59
38,九,4E5D
39,也,4E5F
40,乞,4E5E
41,乩,4E69
42,乳,4E73
43,乾,4E7E
44,亂,4E82
45,了,4E86
46,予,4E88
47,事,4E8B
48,二,4E8C
49,于,4E8E
50,云,4E91
51,井,4E95
52,互,4E92
53,五,4E94
54,亙,4E99
55,些,4E9B
56,亞,4E9E
57,亟,4E9F
58,亡,4EA1
59,交,4EA4
60,亦,4EA6
61,亥,4EA5
62,亨,4EA8
63,享,4EAB
64,京,4EAC
65,亭,4EAD
66,亮,4EAE
67,人,4EBA
68,仁,4EC1
69,什,4EC0
70,仃,4EC3
71,仆,4EC6
72,仇,4EC7
73,仍,4ECD
74,今,4ECA
75,介,4ECB
76,仄,4EC4
77,以,4EE5
78,付,4ED8
79,仔,4ED4
80,仕,4ED5
81,他,4ED6
82,仗,4ED7
83,代,4EE3
84,令,4EE4
85,仙,4ED9
86,仞,4EDE
87,仿,4EFF
88,伉,4F09
89,伙,4F19
90,伊,4F0A
91,伕,4F15
92,伍,4F0D
93,伐,4F10
94,休,4F11
95,伏,4F0F
96,仲,4EF2
97,件,4EF6
98,任,4EFB
99,仰,4EF0
100,仳,4EF3
101,份,4EFD
102,企,4F01
103,位,4F4D
104,住,4F4F
105,佇,4F47
106,佗,4F57
107,佞,4F5E
108,伴,4F34
109,佛,4F5B
110,何,4F55
111,估,4F30
112,佐,4F50
113,佑,4F51
114,伽,4F3D
115,伺,4F3A
116,伸,4F38
117,佃,4F43
118,佔,4F54
119,似,4F3C
120,但,4F46
121,佣,4F63
122,作,4F5C
123,你,4F60
124,伯,4F2F
125,低,4F4E
126,伶,4F36
127,余,4F59
128,佝,4F5D
129,佯,4F6F
130,依,4F9D
131,侍,4F8D
132,佳,4F73
133,使,4F7F
134,佬,4F6C
135,供,4F9B
136,例,4F8B
137,來,4F86
138,侃,4F83
139,佰,4F70
140,併,4F75
141,侈,4F88
142,佩,4F69
143,佻,4F7B
144,侖,4F96
145,佾,4F7E
146,侏,4F8F
147,信,4FE1
148,侵,4FB5
149,侯,4FAF
150,便,4FBF
151,俠,4FE0
152,俑,4FD1
153,俏,4FCF
154,保,4FDD
155,促,4FC3
156,侶,4FB6
157,俘,4FD8
158,俟,4FDF
159,俊,4FCA
160,俗,4FD7
161,侮,4FAE
162,俐,4FD0
163,俄,4FC4
164,係,4FC2
165,俚,4FDA
166,俎,4FCE
167,俞,4FDE
168,倌,500C
169,倍,500D
170,倣,5023
171,俯,4FEF
172,倦,5026
173,倥,5025
174,俸,4FF8
175,倩,5029
176,倖,5016
177,倆,5006
178,值,503C
179,借,501F
180,倚,501A
181,倒,5012
182,們,5011
183,俺,4FFA
184,倀,5000
185,倔,5014
186,倨,5028
187,俱,4FF1
188,倡,5021
189,個,500B
190,候,5019
191,倘,5018
192,俳,4FF3
193,修,4FEE
194,倭,502D
195,倪,502A
196,俾,4FFE
197,倫,502B
198,倉,5009
199,偺,507A
200,偽,507D
201,停,505C
202,假,5047
203,偃,5043
204,偌,504C
205,做,505A
206,偉,5049
207,健,5065
208,偶,5076
209,偎,504E
210,偕,5055
211,偵,5075
212,側,5074
213,偷,5077
214,偏,504F
215,倏,500F
216,傢,50A2
217,傍,508D
218,傅,5085
219,備,5099
220,傑,5091
221,傀,5080
222,傖,5096
223,傘,5098
224,傭,50AD
225,債,50B5
226,傲,50B2
227,傳,50B3
228,僅,50C5
229,傾,50BE
230,催,50AC
231,傷,50B7
232,傻,50BB
233,傯,50AF
234,僧,50E7
235,僮,50EE
236,僥,50E5
237,僖,50D6
238,僭,50ED
239,僚,50DA
240,僕,50D5
241,像,50CF
242,僑,50D1
243,僱,50F1
244,億,5104
245,儀,5100
246,僻,50FB
247,僵,50F5
248,價,50F9
249,儂,5102
250,儈,5108
251,儉,5109
252,儒,5112
253,儘,5118
254,儔,5114
255,儐,5110
256,優,512A
257,償,511F
258,儡,5121
259,儲,5132
260,儷,5137
261,儼,513C
262,兀,5140
263,元,5143
264,允,5141
265,充,5145
266,兄,5144
267,光,5149
268,兇,5147
269,兆,5146
270,先,5148
271,兌,514C
272,克,514B
273,免,514D
274,兔,5154
275,兒,5152
276,兕,5155
277,兗,5157
278,兜,515C
279,兢,5162
280,入,5165
281,內,5167
282,全,5168
283,兩,5169
284,八,516B
285,六,516D
286,兮,516E
287,公,516C
288,共,5171
289,兵,5175
290,具,5177
291,其,5176
292,典,5178
293,兼,517C
294,冀,5180
295,冉,5189
296,冊,518A
297,再,518D
298,冒,5192
299,冑,5191
300,冕,5195
301,最,6700
302,冗,5197
303,冠,51A0
304,冤,51A4
305,冥,51A5
306,冢,51A2
307,冬,51AC
308,冰,51B0
309,冶,51B6
310,冷,51B7
311,冽,51BD
312,凍,51CD
313,凌,51CC
314,准,51C6
315,凋,51CB
316,凜,51DC
317,凝,51DD
318,几,51E0
319,凰,51F0
320,凱,51F1
321,凳,51F3
322,凶,51F6
323,凹,51F9
324,出,51FA
325,凸,51F8
326,函,51FD
327,刀,5200
328,刁,5201
329,刃,5203
330,分,5206
331,切,5207
332,刈,5208
333,刊,520A
334,列,5217
335,刑,5211
336,划,5212
337,刎,520E
338,別,5225
339,判,5224
340,利,5229
341,刪,522A
342,刨,5228
343,刻,523B
344,券,5238
345,刷,5237
346,刺,523A
347,到,5230
348,刮,522E
349,制,5236
350,剁,5241
351,剎,524E
352,剃,5243
353,削,524A
354,前,524D
355,剌,524C
356,剋,524B
357,則,5247
358,剖,5256
359,剜,525C
360,剔,5254
361,剛,525B
362,剝,525D
363,剪,526A
364,副,526F
365,割,5272
366,剴,5274
367,創,5275
368,剩,5269
369,剿,527F
370,剷,5277
371,剽,527D
372,劃,5283
373,劇,5287
374,劈,5288
375,劉,5289
376,劍,528D
377,劑,5291
378,力,529B
379,加,52A0
380,功,529F
381,劣,52A3
382,劫,52AB
383,助,52A9
384,努,52AA
385,劬,52AC
386,劾,52BE
387,勇,52C7
388,勉,52C9
389,勃,52C3
390,勁,52C1
391,勒,52D2
392,務,52D9
393,勘,52D8
394,動,52D5
395,勞,52DE
396,勝,52DD
397,勛,52DB
398,募,52DF
399,勦,52E6
400,勤,52E4
401,勢,52E2
402,勵,52F5
403,勸,52F8
404,勻,52FB
405,勾,52FE
406,勿,52FF
407,包,5305
408,匆,5306
409,匈,5308
410,匍,530D
411,匐,5310
412,匏,530F
413,匕,5315
414,化,5316
415,北,5317
416,匙,5319
417,匝,531D
418,匡,5321
419,匠,5320
420,匣,5323
421,匪,532A
422,匯,532F
423,匱,5331
424,匹,5339
425,匿,533F
426,區,5340
427,匾,533E
428,十,5341
429,千,5343
430,午,5348
431,升,5347
432,卅,5345
433,仟,4EDF
434,半,534A
435,卉,5349
436,卒,5352
437,協,5354
438,卓,5353
439,卑,5351
440,南,5357
441,博,535A
442,卜,535C
443,卞,535E
444,卡,5361
445,占,5360
446,卦,5366
447,卯,536F
448,卮,536E
449,印,5370
450,危,5371
451,即,5373
452,卵,5375
453,卷,5377
454,卸,5378
455,卹,5379
456,卻,537B
457,卿,537F
458,厄,5384
459,厚,539A
460,原,539F
461,厝,539D
462,厥,53A5
463,厭,53AD
464,厲,53B2
465,去,53BB
466,參,53C3
467,又,53C8
468,叉,53C9
469,友,53CB
470,及,53CA
471,反,53CD
472,取,53D6
473,叔,53D4
474,受,53D7
475,叛,53DB
476,叟,53DF
477,曼,66FC
478,叢,53E2
479,口,53E3
480,可,53EF
481,古,53E4
482,右,53F3
483,召,53EC
484,叮,53EE
485,叩,53E9
486,叨,53E8
487,叼,53FC
488,司,53F8
489,叵,53F5
490,叫,53EB
491,另,53E6
492,只,53EA
493,史,53F2
494,叱,53F1
495,台,53F0
496,句,53E5
497,叭,53ED
498,吉,5409
499,吏,540F
500,同,540C
501,吊,540A
502,吐,5410
503,吁,5401
504,吋,540B
505,各,5404
506,向,5411
507,名,540D
508,合,5408
509,吃,5403
510,后,540E
511,吆,5406
512,吒,5412
513,吝,541D
514,吭,542D
515,吞,541E
516,吾,543E
517,否,5426
518,呎,544E
519,吧,5427
520,呆,5446
521,呃,5443
522,吳,5433
523,呈,5448
524,呂,5442
525,君,541B
526,吩,5429
527,告,544A
528,吹,5439
529,吻,543B
530,吸,5438
531,吮,542E
532,吵,5435
533,吶,5436
534,吠,5420
535,吼,543C
536,呀,5440
537,吱,5431
538,含,542B
539,吟,541F
540,味,5473
541,呵,5475
542,咖,5496
543,呸,5478
544,咕,5495
545,咀,5480
546,呻,547B
547,呷,5477
548,咄,5484
549,咒,5492
550,咆,5486
551,呼,547C
552,咐,5490
553,呱,5471
554,呶,5476
555,和,548C
556,咚,549A
557,呢,5462
558,周,5468
559,咋,548B
560,命,547D
561,咎,548E
562,咬,54AC
563,哀,54C0
564,咨,54A8
565,哎,54CE
566,哉,54C9
567,咸,54B8
568,咦,54A6
569,咳,54B3
570,哇,54C7
571,哂,54C2
572,咽,54BD
573,咪,54AA
574,品,54C1
575,哄,54C4
576,哈,54C8
577,咯,54AF
578,咫,54AB
579,咱,54B1
580,咻,54BB
581,哨,54E8
582,唐,5510
583,唁,5501
584,唷,5537
585,哼,54FC
586,哥,54E5
587,哲,54F2
588,唆,5506
589,哺,54FA
590,唔,5514
591,哩,54E9
592,哭,54ED
593,員,54E1
594,唉,5509
595,哮,54EE
596,哪,54EA
597,哦,54E6
598,唧,5527
599,商,5546
600,啪,556A
601,啦,5566
602,啄,5544
603,啞,555E
604,啡,5561
605,啃,5543
606,啊,554A
607,唱,5531
608,啖,5556
609,問,554F
610,啕,5555
611,唯,552F
612,啤,5564
613,唸,5538
614,售,552E
615,啜,555C
616,唬,552C
617,啣,5563
618,唳,5533
619,啻,557B
620,喀,5580
621,喧,55A7
622,啼,557C
623,喊,558A
624,喝,559D
625,喘,5598
626,喂,5582
627,喜,559C
628,喪,55AA
629,喔,5594
630,喇,5587
631,喋,558B
632,喃,5583
633,喳,55B3
634,單,55AE
635,喟,559F
636,唾,553E
637,喲,55B2
638,喚,559A
639,喻,55BB
640,喬,55AC
641,喱,55B1
642,啾,557E
643,喉,5589
644,嗟,55DF
645,嗨,55E8
646,嗓,55D3
647,嗦,55E6
648,嗎,55CE
649,嗜,55DC
650,嗇,55C7
651,嗑,55D1
652,嗣,55E3
653,嗤,55E4
654,嗯,55EF
655,嗚,55DA
656,嗡,55E1
657,嗅,55C5
658,嗆,55C6
659,嗥,55E5
660,嗾,55FE
661,嘀,5600
662,嘛,561B
663,嘗,5617
